Hf-2(PCN-223)-O2 MAP 2.5 2.5

Labels	Ex1 360.00nm	Ex1 370.00nm	Ex1 380.00nm	Ex1 390.00nm	Ex1 400.00nm	Ex1 410.00nm	Ex1 420.00nm	Ex1 430.00nm	Ex1 440.00nm	Ex1 450.00nm	Ex1 460.00nm	Ex1 470.00nm	Ex1 480.00nm	Ex1 490.00nm	Ex1 500.00nm	Ex1 510.00nm	Ex1 520.00nm	Ex1 530.00nm	Ex1 540.00nm	Ex1 550.00nm	Ex1 560.00nm	Ex1 570.00nm	
639.00	1.43560000E+4	1.75530000E+4	2.09780000E+4	2.35910000E+4	2.88400000E+4	2.51440000E+4	1.62150000E+4	1.45630000E+4	1.76190000E+4	2.70640000E+4	2.83580000E+4	3.08040000E+4	2.70930000E+4	2.28600000E+4	2.41010000E+4	2.34310000E+4	1.41030000E+4	1.29820000E+4	1.42970000E+4	1.13400000E+4	5.44700000E+3	3.79500000E+3	
640.00	1.50230000E+4	1.86670000E+4	2.22590000E+4	2.48740000E+4	3.07770000E+4	2.61520000E+4	1.69110000E+4	1.54430000E+4	1.86070000E+4	2.85830000E+4	3.00980000E+4	3.29950000E+4	2.86750000E+4	2.41370000E+4	2.56310000E+4	2.54500000E+4	1.53000000E+4	1.36610000E+4	1.51640000E+4	1.16830000E+4	5.91900000E+3	3.97900000E+3	
641.00	1.59520000E+4	1.95100000E+4	2.33970000E+4	2.62420000E+4	3.23880000E+4	2.76890000E+4	1.79840000E+4	1.62110000E+4	1.97130000E+4	3.02720000E+4	3.15730000E+4	3.52710000E+4	3.05120000E+4	2.53480000E+4	2.73570000E+4	2.69510000E+4	1.64210000E+4	1.48950000E+4	1.58240000E+4	1.27160000E+4	6.33500000E+3	4.19400000E+3	
642.00	1.70090000E+4	2.10830000E+4	2.47000000E+4	2.77840000E+4	3.40250000E+4	2.94770000E+4	1.91330000E+4	1.74240000E+4	2.11750000E+4	3.16350000E+4	3.34850000E+4	3.71530000E+4	3.20920000E+4	2.71330000E+4	2.90610000E+4	2.87240000E+4	1.74130000E+4	1.57090000E+4	1.69660000E+4	1.34840000E+4	6.83200000E+3	4.46700000E+3	
643.00	1.80940000E+4	2.24640000E+4	2.66540000E+4	2.93620000E+4	3.55510000E+4	3.10310000E+4	2.02080000E+4	1.86640000E+4	2.20890000E+4	3.39590000E+4	3.44330000E+4	3.93170000E+4	3.42570000E+4	2.91610000E+4	3.10760000E+4	3.03720000E+4	1.85010000E+4	1.66080000E+4	1.79880000E+4	1.40810000E+4	7.35700000E+3	4.85200000E+3	
644.00	1.93540000E+4	2.40990000E+4	2.80810000E+4	3.16220000E+4	3.85430000E+4	3.32230000E+4	2.15050000E+4	1.94640000E+4	2.36580000E+4	3.58380000E+4	3.70550000E+4	4.16010000E+4	3.63490000E+4	3.05180000E+4	3.31420000E+4	3.28750000E+4	2.16480000E+4	1.75850000E+4	1.91180000E+4	1.50750000E+4	8.20900000E+3	4.97900000E+3	
645.00	2.05090000E+4	2.53950000E+4	2.95510000E+4	3.38260000E+4	4.10000000E+4	3.47650000E+4	2.28990000E+4	2.08080000E+4	2.52070000E+4	3.80530000E+4	3.94030000E+4	4.43750000E+4	3.86150000E+4	3.26340000E+4	3.59120000E+4	3.52780000E+4	2.26030000E+4	1.89490000E+4	1.99710000E+4	1.62850000E+4	8.70700000E+3	5.49700000E+3	
646.00	2.20010000E+4	2.71130000E+4	3.16100000E+4	3.55460000E+4	4.36080000E+4	3.81540000E+4	2.41970000E+4	2.21370000E+4	2.69590000E+4	4.26580000E+4	4.20360000E+4	4.74010000E+4	4.10230000E+4	3.51190000E+4	3.86060000E+4	3.78930000E+4	2.45070000E+4	2.03960000E+4	2.19800000E+4	1.73570000E+4	9.38600000E+3	5.67200000E+3	
647.00	2.32680000E+4	2.89970000E+4	3.41700000E+4	3.82480000E+4	4.70520000E+4	4.04740000E+4	2.62240000E+4	2.38850000E+4	2.91490000E+4	4.61220000E+4	4.55230000E+4	5.09570000E+4	4.38340000E+4	3.77550000E+4	4.14560000E+4	4.08370000E+4	2.67440000E+4	2.16650000E+4	2.30500000E+4	1.78900000E+4	1.00370000E+4	6.04700000E+3	
648.00	2.51590000E+4	3.13080000E+4	3.60710000E+4	4.09680000E+4	4.99800000E+4	4.29990000E+4	2.80530000E+4	2.55550000E+4	3.11370000E+4	4.87850000E+4	4.86020000E+4	5.45700000E+4	4.81870000E+4	4.03250000E+4	4.45740000E+4	4.34230000E+4	2.84170000E+4	2.29800000E+4	2.49780000E+4	1.93370000E+4	1.07330000E+4	6.51300000E+3	
